longitude,latitude
101.469,3.2015
101.4737,3.2512
101.4689,3.1563
101.4734,3.1247
101.4374,3.1519
101.4826,3.2286
101.487,3.2105
101.4644,3.1428
101.4871,3.2422
101.4691,3.2106
101.4871,3.2151
101.4737,3.2603
101.4509,3.1564
101.4464,3.1383
101.4423,3.2875
101.4331,3.1971
101.4959,3.1337
101.4599,3.1202
101.4421,3.2061
101.4916,3.2512
101.4871,3.2241
101.4735,3.1789
101.4781,3.2377
101.442,3.1835
101.4646,3.2332
101.4871,3.2286
101.4916,3.2286
101.4692,3.2603
101.4781,3.2512
101.4827,3.2557
101.4421,3.2106
101.4512,3.2468
101.4913,3.1201
101.4871,3.2376
101.4914,3.1653
101.4962,3.2828
101.4556,3.2332
101.487,3.197
101.4916,3.2557
101.4645,3.1654
101.4823,3.1202
101.4872,3.2828
101.4781,3.2332
101.4734,3.1383
101.4733,3.1157
101.4826,3.2467
101.4601,3.2332
101.4331,3.2061
101.3518,3.0346
101.3428,3.0346
101.3428,3.0527
101.3518,3.0617
101.3609,3.1069
101.3429,3.0798
101.3292,2.9804
101.3428,3.0617
101.3519,3.1069
101.3337,3.0211
101.3517,2.9984
101.3519,3.0888
101.3517,3.0075
101.3609,3.0888
101.3428,3.0708
101.3516,2.9623
101.3429,3.0979
101.3338,3.0482
101.3608,3.0526
101.3426,2.9442
101.3518,3.0707
101.3607,3.0165
101.3607,2.9984
101.3518,3.0527
101.3516,2.9713
101.3517,3.0165
101.3429,3.116
101.3519,3.0979
101.3519,3.0798
101.3699,3.0978
101.3606,2.9532
101.3516,2.9532
101.3608,3.0436
101.3698,3.0797
101.3607,3.0074
101.3426,2.9533
101.3517,2.9894
101.3607,3.0255
101.3516,2.9804
101.3338,3.0391
101.3429,3.0934
101.3518,3.0436
101.3699,3.0888
101.3429,3.0888
101.3337,2.9759
101.3698,3.0436
101.3606,2.9713
101.3609,3.0978
101.3696,2.9713
101.3606,2.9803
101.3786,2.9622
101.3696,2.9803
101.3697,3.0074
101.3608,3.0707
101.3698,3.0707
101.3695,2.9442
101.3786,2.9803
101.3788,3.0526
101.3786,2.9893
101.3696,2.9894
101.3608,3.0798
101.3697,2.9984
101.3787,2.9984
101.3698,3.0526
101.3876,2.9803
101.3788,3.0707
101.3788,3.0616
101.3789,3.0888
101.3786,2.9713
101.3788,3.0797
101.3697,3.0255
101.3878,3.0526
101.3877,3.0164
101.3876,2.9893
101.3697,3.0165
101.3787,3.0164
101.4146,3.0073
101.4147,3.0254
101.3698,3.0617
101.4056,2.9712
101.4056,2.9983
101.3789,3.0978
101.3696,2.9532
101.4056,2.9622
101.3875,2.9532
101.3787,3.0074
101.4148,3.0796
101.3876,2.9712
101.3608,3.0617
101.3787,3.0345
101.4146,2.9893
101.3878,3.0797
101.3877,3.0345
101.3878,3.0887
101.3786,2.9532
101.4148,3.0977
101.4149,3.1158
101.3788,3.0436
101.3696,2.9622
101.3878,3.0616
101.3877,3.0074
101.3876,2.9984
101.3606,2.9623
101.4238,3.0796
